,dataset,rewiring,layer_type,num_iterations,borf_batch_add,borf_batch_remove,sdrf_remove_edges,alpha,eps,test_mean,test_ci,val_mean,val_ci,train_mean,train_ci,energy_mean,energy_ci,last_layer_fa,rewiring_duration,run_duration
0,mutag,sdrf,GIN,10,4,2,False,0.1,0.001,79.55,0.026873592986424426,80.94444444444446,0.023583578718786198,82.53333333333333,0.022568414506414343,0.0,0.0,False,0.0009984970092773438,753.1289374828339
0,mutag,sdrf,GIN,10,4,2,False,0.1,0.001,79.55,0.026873592986424426,80.94444444444446,0.023583578718786198,82.53333333333333,0.022568414506414343,0.0,0.0,False,0.0009984970092773438,753.1289374828339
1,enzymes,sdrf,GIN,10,4,2,False,0.1,0.001,32.38333333333333,0.012545517127643646,35.93333333333332,0.013218841771417713,47.88333333333333,0.014543483649616645,0.0,0.0,False,0.0,2347.2377915382385
0,mutag,sdrf,GIN,10,4,2,False,0.1,0.001,79.55,0.026873592986424426,80.94444444444446,0.023583578718786198,82.53333333333333,0.022568414506414343,0.0,0.0,False,0.0009984970092773438,753.1289374828339
1,enzymes,sdrf,GIN,10,4,2,False,0.1,0.001,32.38333333333333,0.012545517127643646,35.93333333333332,0.013218841771417713,47.88333333333333,0.014543483649616645,0.0,0.0,False,0.0,2347.2377915382385
2,imdb,sdrf,GIN,10,4,2,False,0.1,0.001,69.35,0.013897841559033544,69.62,0.014354873736818444,69.4525,0.012713712085775736,0.0,0.0,False,0.0009968280792236328,2581.0915620326996
0,mutag,sdrf,GIN,10,4,2,False,0.1,0.001,79.55,0.026873592986424426,80.94444444444446,0.023583578718786198,82.53333333333333,0.022568414506414343,0.0,0.0,False,0.0009984970092773438,753.1289374828339
1,enzymes,sdrf,GIN,10,4,2,False,0.1,0.001,32.38333333333333,0.012545517127643646,35.93333333333332,0.013218841771417713,47.88333333333333,0.014543483649616645,0.0,0.0,False,0.0,2347.2377915382385
2,imdb,sdrf,GIN,10,4,2,False,0.1,0.001,69.35,0.013897841559033544,69.62,0.014354873736818444,69.4525,0.012713712085775736,0.0,0.0,False,0.0009968280792236328,2581.0915620326996
3,proteins,sdrf,GIN,10,4,2,False,0.1,0.001,70.10714285714286,0.008908835330096494,72.00900900900902,0.008363369293887837,74.04606741573033,0.005351476263113981,0.0,0.0,False,0.0009975433349609375,4047.443977832794
