,dataset,rewiring,num_iterations,borf_batch_add,borf_batch_remove,avg_accuracy,ci,run_duration,rewiring_duration
0,cornell,delaunay,50,4,2,0.508108108108108,0.027349428412267063,102.39907717704773,6.744844913482666
0,cornell,delaunay,50,4,2,0.508108108108108,0.027349428412267063,102.39907717704773,6.744844913482666
1,wisconsin,delaunay,50,4,2,0.5098039215686274,0.05082933881104204,100.96263527870178,2.0171048641204834
0,cornell,delaunay,50,4,2,0.508108108108108,0.027349428412267063,102.39907717704773,6.744844913482666
1,wisconsin,delaunay,50,4,2,0.5098039215686274,0.05082933881104204,100.96263527870178,2.0171048641204834
2,texas,delaunay,50,4,2,0.5729729729729731,0.0647747121251686,77.77916932106018,1.7375812530517578
0,cornell,delaunay,50,4,2,0.508108108108108,0.027349428412267063,102.39907717704773,6.744844913482666
1,wisconsin,delaunay,50,4,2,0.5098039215686274,0.05082933881104204,100.96263527870178,2.0171048641204834
2,texas,delaunay,50,4,2,0.5729729729729731,0.0647747121251686,77.77916932106018,1.7375812530517578
3,chameleon,delaunay,50,4,2,0.24912280701754383,0.011755695135263826,123.19469499588013,8.83943796157837
0,cornell,delaunay,50,4,2,0.508108108108108,0.027349428412267063,102.39907717704773,6.744844913482666
1,wisconsin,delaunay,50,4,2,0.5098039215686274,0.05082933881104204,100.96263527870178,2.0171048641204834
2,texas,delaunay,50,4,2,0.5729729729729731,0.0647747121251686,77.77916932106018,1.7375812530517578
3,chameleon,delaunay,50,4,2,0.24912280701754383,0.011755695135263826,123.19469499588013,8.83943796157837
4,cora,delaunay,50,4,2,0.3592250922509225,0.01381720508583542,130.87811994552612,8.731855392456055
0,cornell,delaunay,50,4,2,0.508108108108108,0.027349428412267063,102.39907717704773,6.744844913482666
1,wisconsin,delaunay,50,4,2,0.5098039215686274,0.05082933881104204,100.96263527870178,2.0171048641204834
2,texas,delaunay,50,4,2,0.5729729729729731,0.0647747121251686,77.77916932106018,1.7375812530517578
3,chameleon,delaunay,50,4,2,0.24912280701754383,0.011755695135263826,123.19469499588013,8.83943796157837
4,cora,delaunay,50,4,2,0.3592250922509225,0.01381720508583542,130.87811994552612,8.731855392456055
5,citeseer,delaunay,50,4,2,0.20435435435435437,0.006585415098256198,235.9449121952057,19.173630237579346
