,dataset,rewiring,layer_type,num_iterations,borf_batch_add,borf_batch_remove,sdrf_remove_edges,alpha,eps,test_mean,test_ci,val_mean,val_ci,train_mean,train_ci,energy_mean,energy_ci,last_layer_fa,rewiring_duration,run_duration
0,mutag,fosr,GIN,10,4,2,False,0.1,0.001,69.14999999999999,0.03355756248597326,73.33333333333333,0.03026630771528052,75.88,0.03179287411424837,0.0,0.0,False,6.709428548812866,491.54284620285034
0,mutag,fosr,GIN,10,4,2,False,0.1,0.001,69.14999999999999,0.03355756248597326,73.33333333333333,0.03026630771528052,75.88,0.03179287411424837,0.0,0.0,False,6.709428548812866,491.54284620285034
1,enzymes,fosr,GIN,10,4,2,False,0.1,0.001,18.883333333333333,0.010220404427744858,21.616666666666667,0.011059987944538333,24.20208333333333,0.009282049395053994,0.0,0.0,False,0.09973359107971191,1383.5489377975464
0,mutag,fosr,GIN,10,4,2,False,0.1,0.001,69.14999999999999,0.03355756248597326,73.33333333333333,0.03026630771528052,75.88,0.03179287411424837,0.0,0.0,False,6.709428548812866,491.54284620285034
1,enzymes,fosr,GIN,10,4,2,False,0.1,0.001,18.883333333333333,0.010220404427744858,21.616666666666667,0.011059987944538333,24.20208333333333,0.009282049395053994,0.0,0.0,False,0.09973359107971191,1383.5489377975464
2,imdb,fosr,GIN,10,4,2,False,0.1,0.001,70.64,0.013423918950887629,69.52,0.011714879427463177,70.25375,0.010421399558120782,0.0,0.0,False,0.14655160903930664,1920.1190750598907
0,mutag,fosr,GIN,10,4,2,False,0.1,0.001,69.14999999999999,0.03355756248597326,73.33333333333333,0.03026630771528052,75.88,0.03179287411424837,0.0,0.0,False,6.709428548812866,491.54284620285034
1,enzymes,fosr,GIN,10,4,2,False,0.1,0.001,18.883333333333333,0.010220404427744858,21.616666666666667,0.011059987944538333,24.20208333333333,0.009282049395053994,0.0,0.0,False,0.09973359107971191,1383.5489377975464
2,imdb,fosr,GIN,10,4,2,False,0.1,0.001,70.64,0.013423918950887629,69.52,0.011714879427463177,70.25375,0.010421399558120782,0.0,0.0,False,0.14655160903930664,1920.1190750598907
3,proteins,fosr,GIN,10,4,2,False,0.1,0.001,73.70535714285714,0.00793538558532319,75.2162162162162,0.00796671510917215,75.87752808988765,0.004225877799507061,0.0,0.0,False,0.23141002655029297,3460.677045583725
