,dataset,rewiring,num_iterations,borf_batch_add,borf_batch_remove,avg_accuracy,ci,run_duration,rewiring_duration
0,cornell,delaunay,50,4,2,0.5783783783783785,0.029803348653168055,87.90076160430908,6.947200059890747
0,cornell,delaunay,50,4,2,0.5783783783783785,0.029803348653168055,87.90076160430908,6.947200059890747
1,wisconsin,delaunay,50,4,2,0.6392156862745099,0.021622037258180755,130.69426155090332,2.4483749866485596
0,cornell,delaunay,50,4,2,0.5783783783783785,0.029803348653168055,87.90076160430908,6.947200059890747
1,wisconsin,delaunay,50,4,2,0.6392156862745099,0.021622037258180755,130.69426155090332,2.4483749866485596
2,texas,delaunay,50,4,2,0.6783783783783784,0.03193309294646903,155.47059321403503,4.888925075531006
0,cornell,delaunay,50,4,2,0.5783783783783785,0.029803348653168055,87.90076160430908,6.947200059890747
1,wisconsin,delaunay,50,4,2,0.6392156862745099,0.021622037258180755,130.69426155090332,2.4483749866485596
2,texas,delaunay,50,4,2,0.6783783783783784,0.03193309294646903,155.47059321403503,4.888925075531006
3,chameleon,delaunay,50,4,2,0.2822368421052631,0.007968708037505911,172.6863341331482,20.782713651657104
0,cornell,delaunay,50,4,2,0.5783783783783785,0.029803348653168055,87.90076160430908,6.947200059890747
1,wisconsin,delaunay,50,4,2,0.6392156862745099,0.021622037258180755,130.69426155090332,2.4483749866485596
2,texas,delaunay,50,4,2,0.6783783783783784,0.03193309294646903,155.47059321403503,4.888925075531006
3,chameleon,delaunay,50,4,2,0.2822368421052631,0.007968708037505911,172.6863341331482,20.782713651657104
4,cora,delaunay,50,4,2,0.42232472324723247,0.011778676395524199,212.01082491874695,15.525742053985596
0,cornell,delaunay,50,4,2,0.5783783783783785,0.029803348653168055,87.90076160430908,6.947200059890747
1,wisconsin,delaunay,50,4,2,0.6392156862745099,0.021622037258180755,130.69426155090332,2.4483749866485596
2,texas,delaunay,50,4,2,0.6783783783783784,0.03193309294646903,155.47059321403503,4.888925075531006
3,chameleon,delaunay,50,4,2,0.2822368421052631,0.007968708037505911,172.6863341331482,20.782713651657104
4,cora,delaunay,50,4,2,0.42232472324723247,0.011778676395524199,212.01082491874695,15.525742053985596
5,citeseer,delaunay,50,4,2,0.23963963963963963,0.004478402854608347,179.94196248054504,38.66968846321106
