,dataset,rewiring,num_iterations,borf_batch_add,borf_batch_remove,avg_accuracy,ci,run_duration,rewiring_duration
0,cornell,gtr,50,4,2,0.4864864864864865,0.03972145528837586,85.47892117500305,0.2622988224029541
0,cornell,gtr,50,4,2,0.4864864864864865,0.03972145528837586,85.47892117500305,0.2622988224029541
1,wisconsin,gtr,50,4,2,0.4666666666666667,0.03318305223734302,92.05340075492859,0.12466621398925781
0,cornell,gtr,50,4,2,0.4864864864864865,0.03972145528837586,85.47892117500305,0.2622988224029541
1,wisconsin,gtr,50,4,2,0.4666666666666667,0.03318305223734302,92.05340075492859,0.12466621398925781
2,texas,gtr,50,4,2,0.4594594594594595,0.038978932707718794,112.7709789276123,0.08599686622619629
0,cornell,gtr,50,4,2,0.4864864864864865,0.03972145528837586,85.47892117500305,0.2622988224029541
1,wisconsin,gtr,50,4,2,0.4666666666666667,0.03318305223734302,92.05340075492859,0.12466621398925781
2,texas,gtr,50,4,2,0.4594594594594595,0.038978932707718794,112.7709789276123,0.08599686622619629
3,chameleon,gtr,50,4,2,0.29824561403508765,0.009982286558544773,154.57407999038696,1.9528796672821045
0,cornell,gtr,50,4,2,0.4864864864864865,0.03972145528837586,85.47892117500305,0.2622988224029541
1,wisconsin,gtr,50,4,2,0.4666666666666667,0.03318305223734302,92.05340075492859,0.12466621398925781
2,texas,gtr,50,4,2,0.4594594594594595,0.038978932707718794,112.7709789276123,0.08599686622619629
3,chameleon,gtr,50,4,2,0.29824561403508765,0.009982286558544773,154.57407999038696,1.9528796672821045
4,cora,gtr,50,4,2,0.8691881918819189,0.008582013628035862,191.6927149295807,22.89513635635376
0,cornell,gtr,50,4,2,0.4864864864864865,0.03972145528837586,85.47892117500305,0.2622988224029541
1,wisconsin,gtr,50,4,2,0.4666666666666667,0.03318305223734302,92.05340075492859,0.12466621398925781
2,texas,gtr,50,4,2,0.4594594594594595,0.038978932707718794,112.7709789276123,0.08599686622619629
3,chameleon,gtr,50,4,2,0.29824561403508765,0.009982286558544773,154.57407999038696,1.9528796672821045
4,cora,gtr,50,4,2,0.8691881918819189,0.008582013628035862,191.6927149295807,22.89513635635376
5,citeseer,gtr,50,4,2,0.724924924924925,0.007908794821084222,223.72840547561646,101.73988580703735
0,cornell,gtr,50,4,2,0.5081081081081081,0.023930749860733676,137.80062985420227,0.7019646167755127
0,cornell,gtr,50,4,2,0.5081081081081081,0.023930749860733676,137.80062985420227,0.7019646167755127
1,wisconsin,gtr,50,4,2,0.4294117647058823,0.028522504385832436,123.66971588134766,0.19849061965942383
0,cornell,gtr,50,4,2,0.5081081081081081,0.023930749860733676,137.80062985420227,0.7019646167755127
1,wisconsin,gtr,50,4,2,0.4294117647058823,0.028522504385832436,123.66971588134766,0.19849061965942383
2,texas,gtr,50,4,2,0.49459459459459454,0.0382601910685111,116.41003656387329,0.18948650360107422
0,cornell,gtr,50,4,2,0.5081081081081081,0.023930749860733676,137.80062985420227,0.7019646167755127
1,wisconsin,gtr,50,4,2,0.4294117647058823,0.028522504385832436,123.66971588134766,0.19849061965942383
2,texas,gtr,50,4,2,0.49459459459459454,0.0382601910685111,116.41003656387329,0.18948650360107422
3,chameleon,gtr,50,4,2,0.29671052631578954,0.009222006212542896,161.5617778301239,2.034400224685669
0,cornell,gtr,50,4,2,0.5081081081081081,0.023930749860733676,137.80062985420227,0.7019646167755127
1,wisconsin,gtr,50,4,2,0.4294117647058823,0.028522504385832436,123.66971588134766,0.19849061965942383
2,texas,gtr,50,4,2,0.49459459459459454,0.0382601910685111,116.41003656387329,0.18948650360107422
3,chameleon,gtr,50,4,2,0.29671052631578954,0.009222006212542896,161.5617778301239,2.034400224685669
4,cora,gtr,50,4,2,0.8734317343173432,0.00535246180500922,174.75677514076233,15.49441146850586
0,cornell,gtr,50,4,2,0.5081081081081081,0.023930749860733676,137.80062985420227,0.7019646167755127
1,wisconsin,gtr,50,4,2,0.4294117647058823,0.028522504385832436,123.66971588134766,0.19849061965942383
2,texas,gtr,50,4,2,0.49459459459459454,0.0382601910685111,116.41003656387329,0.18948650360107422
3,chameleon,gtr,50,4,2,0.29671052631578954,0.009222006212542896,161.5617778301239,2.034400224685669
4,cora,gtr,50,4,2,0.8734317343173432,0.00535246180500922,174.75677514076233,15.49441146850586
5,citeseer,gtr,50,4,2,0.7244744744744744,0.007576261748674401,135.48558139801025,53.28004264831543
