,dataset,rewiring,num_iterations,borf_batch_add,borf_batch_remove,avg_accuracy,ci,run_duration,rewiring_duration
0,cornell,gtr,50,4,2,0.39189189189189194,0.06762160001728003,72.33674812316895,0.2553980350494385
0,cornell,gtr,50,4,2,0.39189189189189194,0.06762160001728003,72.33674812316895,0.2553980350494385
1,wisconsin,gtr,50,4,2,0.45098039215686275,0.02601274345376783,70.40384793281555,0.07480072975158691
0,cornell,gtr,50,4,2,0.39189189189189194,0.06762160001728003,72.33674812316895,0.2553980350494385
1,wisconsin,gtr,50,4,2,0.45098039215686275,0.02601274345376783,70.40384793281555,0.07480072975158691
2,texas,gtr,50,4,2,0.4621621621621622,0.09155741990422128,77.37864804267883,0.06382918357849121
0,cornell,gtr,50,4,2,0.39189189189189194,0.06762160001728003,72.33674812316895,0.2553980350494385
1,wisconsin,gtr,50,4,2,0.45098039215686275,0.02601274345376783,70.40384793281555,0.07480072975158691
2,texas,gtr,50,4,2,0.4621621621621622,0.09155741990422128,77.37864804267883,0.06382918357849121
3,chameleon,gtr,50,4,2,0.2853070175438596,0.01401382709875614,288.94599890708923,1.4786303043365479
0,cornell,gtr,50,4,2,0.39189189189189194,0.06762160001728003,72.33674812316895,0.2553980350494385
1,wisconsin,gtr,50,4,2,0.45098039215686275,0.02601274345376783,70.40384793281555,0.07480072975158691
2,texas,gtr,50,4,2,0.4621621621621622,0.09155741990422128,77.37864804267883,0.06382918357849121
3,chameleon,gtr,50,4,2,0.2853070175438596,0.01401382709875614,288.94599890708923,1.4786303043365479
4,cora,gtr,50,4,2,0.7108856088560886,0.01094704036906199,132.69940948486328,2.376037120819092
0,cornell,gtr,50,4,2,0.39189189189189194,0.06762160001728003,72.33674812316895,0.2553980350494385
1,wisconsin,gtr,50,4,2,0.45098039215686275,0.02601274345376783,70.40384793281555,0.07480072975158691
2,texas,gtr,50,4,2,0.4621621621621622,0.09155741990422128,77.37864804267883,0.06382918357849121
3,chameleon,gtr,50,4,2,0.2853070175438596,0.01401382709875614,288.94599890708923,1.4786303043365479
4,cora,gtr,50,4,2,0.7108856088560886,0.01094704036906199,132.69940948486328,2.376037120819092
5,citeseer,gtr,50,4,2,0.5563063063063064,0.010929033264311015,241.65742349624634,17.34325861930847
0,cornell,gtr,50,4,2,0.3621621621621621,0.0693073315668091,91.95320677757263,0.3158376216888428
0,cornell,gtr,50,4,2,0.3621621621621621,0.0693073315668091,91.95320677757263,0.3158376216888428
1,wisconsin,gtr,50,4,2,0.3705882352941176,0.06936854752976922,93.26582980155945,0.12566375732421875
0,cornell,gtr,50,4,2,0.3621621621621621,0.0693073315668091,91.95320677757263,0.3158376216888428
1,wisconsin,gtr,50,4,2,0.3705882352941176,0.06936854752976922,93.26582980155945,0.12566375732421875
2,texas,gtr,50,4,2,0.44324324324324327,0.08097290080464435,100.48149394989014,0.09026598930358887
0,cornell,gtr,50,4,2,0.3621621621621621,0.0693073315668091,91.95320677757263,0.3158376216888428
1,wisconsin,gtr,50,4,2,0.3705882352941176,0.06936854752976922,93.26582980155945,0.12566375732421875
2,texas,gtr,50,4,2,0.44324324324324327,0.08097290080464435,100.48149394989014,0.09026598930358887
3,chameleon,gtr,50,4,2,0.2855263157894737,0.017097389100850055,366.22808504104614,1.7270393371582031
0,cornell,gtr,50,4,2,0.3945945945945946,0.06219740481575146,76.31588101387024,0.2562863826751709
0,cornell,gtr,50,4,2,0.3945945945945946,0.06219740481575146,76.31588101387024,0.2562863826751709
1,wisconsin,gtr,50,4,2,0.4098039215686275,0.07532066525449098,79.43262839317322,0.054335594177246094
0,cornell,gtr,50,4,2,0.3945945945945946,0.06219740481575146,76.31588101387024,0.2562863826751709
1,wisconsin,gtr,50,4,2,0.4098039215686275,0.07532066525449098,79.43262839317322,0.054335594177246094
2,texas,gtr,50,4,2,0.49459459459459465,0.05972911825540009,74.55101132392883,0.04089045524597168
0,cornell,gtr,50,4,2,0.3945945945945946,0.06219740481575146,76.31588101387024,0.2562863826751709
1,wisconsin,gtr,50,4,2,0.4098039215686275,0.07532066525449098,79.43262839317322,0.054335594177246094
2,texas,gtr,50,4,2,0.49459459459459465,0.05972911825540009,74.55101132392883,0.04089045524597168
3,chameleon,gtr,50,4,2,0.2774122807017544,0.016319679785209703,260.03296756744385,1.265843391418457
0,cornell,gtr,50,4,2,0.3945945945945946,0.06219740481575146,76.31588101387024,0.2562863826751709
1,wisconsin,gtr,50,4,2,0.4098039215686275,0.07532066525449098,79.43262839317322,0.054335594177246094
2,texas,gtr,50,4,2,0.49459459459459465,0.05972911825540009,74.55101132392883,0.04089045524597168
3,chameleon,gtr,50,4,2,0.2774122807017544,0.016319679785209703,260.03296756744385,1.265843391418457
4,cora,gtr,50,4,2,0.7193726937269374,0.02383118279374052,124.52380037307739,2.252563714981079
0,cornell,gtr,50,4,2,0.3945945945945946,0.06219740481575146,76.31588101387024,0.2562863826751709
1,wisconsin,gtr,50,4,2,0.4098039215686275,0.07532066525449098,79.43262839317322,0.054335594177246094
2,texas,gtr,50,4,2,0.49459459459459465,0.05972911825540009,74.55101132392883,0.04089045524597168
3,chameleon,gtr,50,4,2,0.2774122807017544,0.016319679785209703,260.03296756744385,1.265843391418457
4,cora,gtr,50,4,2,0.7193726937269374,0.02383118279374052,124.52380037307739,2.252563714981079
5,citeseer,gtr,50,4,2,0.5767267267267268,0.01909423512582438,163.97445702552795,10.784814596176147
