,dataset,rewiring,num_iterations,borf_batch_add,borf_batch_remove,avg_accuracy,ci,run_duration,rewiring_duration
0,cornell,laser,50,20,10,0.37297297297297305,0.08332042753728731,172.16093826293945,0.6178674697875977
0,cornell,laser,50,20,10,0.37297297297297305,0.08332042753728731,172.16093826293945,0.6178674697875977
1,wisconsin,laser,50,20,10,0.42549019607843136,0.0660990832916417,266.63582468032837,1.0307869911193848
0,cornell,laser,50,20,10,0.37297297297297305,0.08332042753728731,172.16093826293945,0.6178674697875977
1,wisconsin,laser,50,20,10,0.42549019607843136,0.0660990832916417,266.63582468032837,1.0307869911193848
2,texas,laser,50,20,10,0.4351351351351352,0.1142703214093828,305.59532475471497,1.0721898078918457
0,cornell,laser,50,20,10,0.37297297297297305,0.08332042753728731,172.16093826293945,0.6178674697875977
1,wisconsin,laser,50,20,10,0.42549019607843136,0.0660990832916417,266.63582468032837,1.0307869911193848
2,texas,laser,50,20,10,0.4351351351351352,0.1142703214093828,305.59532475471497,1.0721898078918457
3,chameleon,laser,50,20,10,0.59890350877193,0.022099780021717644,8668.946225881577,17.058201551437378
0,cornell,laser,50,20,10,0.37297297297297305,0.08332042753728731,172.16093826293945,0.6178674697875977
1,wisconsin,laser,50,20,10,0.42549019607843136,0.0660990832916417,266.63582468032837,1.0307869911193848
2,texas,laser,50,20,10,0.4351351351351352,0.1142703214093828,305.59532475471497,1.0721898078918457
3,chameleon,laser,50,20,10,0.59890350877193,0.022099780021717644,8668.946225881577,17.058201551437378
4,cora,laser,50,20,10,0.7848708487084871,0.010517576183565948,577.511789560318,4.283843994140625
0,cornell,laser,50,20,10,0.37297297297297305,0.08332042753728731,172.16093826293945,0.6178674697875977
1,wisconsin,laser,50,20,10,0.42549019607843136,0.0660990832916417,266.63582468032837,1.0307869911193848
2,texas,laser,50,20,10,0.4351351351351352,0.1142703214093828,305.59532475471497,1.0721898078918457
3,chameleon,laser,50,20,10,0.59890350877193,0.022099780021717644,8668.946225881577,17.058201551437378
4,cora,laser,50,20,10,0.7848708487084871,0.010517576183565948,577.511789560318,4.283843994140625
5,citeseer,laser,50,20,10,0.6657657657657657,0.013964448310887122,566.1431500911713,6.272357702255249
